연번,행정구역,읍면동,도서명,면적(킬로제곱미터),가구,인구,비고
1,여수시,경호동,야도,0.05,3,4,
2,여수시,경호동,소경도,0.42,317,543,
3,여수시,경호동,대경도,2.34,55,95,
4,여수시,묘도동,묘도,11.43,580,1115,연륙
5,여수시,돌산읍,송도,0.95,88,141,
6,여수시,돌산읍,돌산도,70.31,6546,12168,연륙
7,여수시,돌산읍,금죽도,0.11,2,2,
8,여수시,소라면,달천도,0.52,53,87,연륙
9,여수시,율촌면,송도,0.55,76,199,
10,여수시,율촌면,소륵도,0.02,12,42,
11,여수시,율촌면,대륵도,0.07,20,60,
12,여수시,화양면,대운두도,0.49,10,14,
13,여수시,남면,금오도,27.48,887,1360,연도(금오도~안도)
14,여수시,남면,대부도,0.15,11,16,
15,여수시,남면,안도,3.95,215,321,연도(금오도~안도)
16,여수시,남면,연도,6.81,260,411,
17,여수시,남면,나발도,0.11,20,36,
18,여수시,남면,소두라도,0.15,8,12,
19,여수시,남면,대두라도,1.01,73,128,
20,여수시,남면,화태도,2.17,174,304,연륙(신기~화태)
21,여수시,남면,소횡간도,0.07,8,11,
22,여수시,남면,대횡간도,0.34,63,99,
23,여수시,화정면,백야도,3.05,226,382,연륙(화양~백야)
24,여수시,화정면,자봉도,0.41,27,39,
25,여수시,화정면,월호도,1.53,76,127,
26,여수시,화정면,개도,9.49,375,600,
27,여수시,화정면,제도,1.1,44,73,
28,여수시,화정면,상화도,0.67,43,69,
29,여수시,화정면,하화도,0.6,40,56,
30,여수시,화정면,사도,0.12,26,42,
31,여수시,화정면,추도,0.04,6,9,
32,여수시,화정면,낭도,5.44,168,247,연륙(고흥~여수)
33,여수시,화정면,둔병도,0.81,24,37,연륙(고흥~여수)
34,여수시,화정면,조발도,1.35,24,35,연륙(고흥~여수)
35,여수시,화정면,적금도,0.81,77,109,연륙(고흥~여수)
36,여수시,화정면,송여자도,0.18,103,189,연도(대여자도~숭여자도)
37,여수시,화정면,대여자도,0.47,25,45,연도(대여자도~송여자도)
38,여수시,삼산면,거문도(고도),0.46,313,485,연도(거문도~서도)
39,여수시,삼산면,서도,7,381,596,연도(거문도~서도)
40,여수시,삼산면,동도,3,135,246,연도(서도~동도)
41,여수시,삼산면,초도,7.68,219,365,
42,여수시,삼산면,손죽도,2.67,126,199,
43,여수시,삼산면,소거문도,1.77,15,20,
44,여수시,삼산면,평도,0.49,33,47,
45,여수시,삼산면,광도,0.75,19,30,
